,timestamp,customer_no,location
875,08:03:00,124,fruit
876,08:04:00,124,checkout
877,08:03:00,125,entrance
878,08:04:00,125,drinks
879,08:05:00,125,drinks
880,08:06:00,125,fruit
881,08:07:00,125,fruit
882,08:08:00,125,dairy
883,08:09:00,125,dairy
884,08:10:00,125,dairy
885,08:11:00,125,dairy
886,08:12:00,125,dairy
887,08:13:00,125,dairy
888,08:14:00,125,checkout
889,08:03:00,126,entrance
890,08:04:00,126,drinks
891,08:05:00,126,fruit
892,08:06:00,126,fruit
893,08:07:00,126,fruit
894,08:08:00,126,fruit
895,08:09:00,126,fruit
896,08:10:00,126,fruit
897,08:11:00,126,fruit
898,08:12:00,126,fruit
899,08:13:00,126,fruit
900,08:14:00,126,drinks
901,08:15:00,126,drinks
902,08:16:00,126,drinks
903,08:17:00,126,drinks
904,08:18:00,126,drinks
905,08:19:00,126,checkout
906,08:04:00,127,entrance
907,08:05:00,127,fruit
908,08:06:00,127,fruit
909,08:07:00,127,fruit
910,08:08:00,127,checkout
911,08:04:00,128,entrance
912,08:05:00,128,fruit
913,08:06:00,128,fruit
914,08:07:00,128,fruit
915,08:08:00,128,fruit
916,08:09:00,128,fruit
917,08:10:00,128,dairy
918,08:11:00,128,dairy
919,08:12:00,128,checkout
920,08:05:00,129,entrance
921,08:06:00,129,dairy
922,08:07:00,129,dairy
923,08:08:00,129,checkout
924,08:05:00,130,entrance
925,08:06:00,130,fruit
926,08:07:00,130,fruit
927,08:08:00,130,drinks
928,08:09:00,130,fruit
929,08:10:00,130,fruit
930,08:11:00,130,fruit
931,08:12:00,130,fruit
932,08:13:00,130,drinks
933,08:14:00,130,drinks
934,08:15:00,130,checkout
935,08:06:00,131,entrance
936,08:07:00,131,dairy
937,08:08:00,131,dairy
938,08:09:00,131,dairy
939,08:10:00,131,dairy
940,08:11:00,131,dairy
941,08:12:00,131,dairy
942,08:13:00,131,dairy
943,08:14:00,131,dairy
944,08:15:00,131,dairy
945,08:16:00,131,checkout
946,08:06:00,132,entrance
947,08:07:00,132,fruit
948,08:08:00,132,checkout
949,08:07:00,133,entrance
950,08:08:00,133,fruit
951,08:09:00,133,checkout
952,08:07:00,134,entrance
953,08:08:00,134,dairy
954,08:09:00,134,dairy
955,08:10:00,134,drinks
956,08:11:00,134,fruit
957,08:12:00,134,fruit
958,08:13:00,134,checkout
959,08:08:00,135,entrance
960,08:09:00,135,fruit
961,08:10:00,135,fruit
962,08:11:00,135,fruit
963,08:12:00,135,fruit
964,08:13:00,135,fruit
965,08:14:00,135,fruit
966,08:15:00,135,checkout
967,08:08:00,136,entrance
968,08:09:00,136,fruit
969,08:10:00,136,fruit
970,08:11:00,136,spices
971,08:12:00,136,spices
972,08:13:00,136,dairy
973,08:14:00,136,dairy
974,08:15:00,136,checkout
975,08:09:00,137,entrance
976,08:10:00,137,fruit
977,08:11:00,137,dairy
978,08:12:00,137,dairy
979,08:13:00,137,dairy
980,08:14:00,137,dairy
981,08:15:00,137,dairy
982,08:16:00,137,dairy
983,08:17:00,137,fruit
984,08:18:00,137,fruit
985,08:19:00,137,fruit
986,08:20:00,137,fruit
987,08:21:00,137,fruit
988,08:22:00,137,fruit
989,08:23:00,137,dairy
990,08:24:00,137,dairy
991,08:25:00,137,dairy
992,08:26:00,137,dairy
993,08:27:00,137,dairy
994,08:28:00,137,dairy
995,08:29:00,137,dairy
996,08:30:00,137,dairy
997,08:31:00,137,fruit
998,08:32:00,137,checkout
999,08:09:00,138,entrance
1000,08:10:00,138,dairy
1001,08:11:00,138,drinks
